General,Algemeen
Enabled,Ingeschakeld
Name,Naam
Description,Omschrijving
Benefits,Voordelen
"How to install","Hoe installeren"
"This page is not available for desktop users","Deze pagina is niet beschikbaar voor desktopgebruikers"
